trade_date,trade_status,day_week
2024-01-01,0,2
2024-01-02,1,3
2024-01-03,1,4
2024-01-04,1,5
2024-01-05,1,6
2024-01-06,0,7
2024-01-07,0,1
2024-01-08,1,2
2024-01-09,1,3
2024-01-10,1,4
2024-01-11,1,5
2024-01-12,1,6
2024-01-13,0,7
2024-01-14,0,1
2024-01-15,1,2
2024-01-16,1,3
2024-01-17,1,4
2024-01-18,1,5
2024-01-19,1,6
2024-01-20,0,7
2024-01-21,0,1
2024-01-22,1,2
2024-01-23,1,3
2024-01-24,1,4
2024-01-25,1,5
2024-01-26,1,6
2024-01-27,0,7
2024-01-28,0,1
2024-01-29,1,2
2024-01-30,1,3
2024-01-31,1,4
2024-02-01,1,5
2024-02-02,1,6
2024-02-03,0,7
2024-02-04,0,1
2024-02-05,1,2
2024-02-06,1,3
2024-02-07,1,4
2024-02-08,1,5
2024-02-09,1,6
2024-02-10,0,7
2024-02-11,0,1
2024-02-12,0,2
2024-02-13,0,3
2024-02-14,0,4
2024-02-15,0,5
2024-02-16,0,6
2024-02-17,0,7
2024-02-18,0,1
2024-02-19,1,2
2024-02-20,1,3
2024-02-21,1,4
2024-02-22,1,5
2024-02-23,1,6
2024-02-24,0,7
2024-02-25,0,1
2024-02-26,1,2
2024-02-27,1,3
2024-02-28,1,4
2024-02-29,1,5
2024-03-01,1,6
2024-03-02,0,7
2024-03-03,0,1
2024-03-04,1,2
2024-03-05,1,3
2024-03-06,1,4
2024-03-07,1,5
2024-03-08,1,6
2024-03-09,0,7
2024-03-10,0,1
2024-03-11,1,2
2024-03-12,1,3
2024-03-13,1,4
2024-03-14,1,5
2024-03-15,1,6
2024-03-16,0,7
2024-03-17,0,1
2024-03-18,1,2
2024-03-19,1,3
2024-03-20,1,4
2024-03-21,1,5
2024-03-22,1,6
2024-03-23,0,7
2024-03-24,0,1
2024-03-25,1,2
2024-03-26,1,3
2024-03-27,1,4
2024-03-28,1,5
2024-03-29,1,6
2024-03-30,0,7
2024-03-31,0,1
2024-04-01,1,2
2024-04-02,1,3
2024-04-03,1,4
2024-04-04,0,5
2024-04-05,0,6
2024-04-06,0,7
2024-04-07,0,1
2024-04-08,1,2
2024-04-09,1,3
2024-04-10,1,4
2024-04-11,1,5
2024-04-12,1,6
2024-04-13,0,7
2024-04-14,0,1
2024-04-15,1,2
2024-04-16,1,3
2024-04-17,1,4
2024-04-18,1,5
2024-04-19,1,6
2024-04-20,0,7
2024-04-21,0,1
2024-04-22,1,2
2024-04-23,1,3
2024-04-24,1,4
2024-04-25,1,5
2024-04-26,1,6
2024-04-27,0,7
2024-04-28,0,1
2024-04-29,1,2
2024-04-30,1,3
2024-05-01,0,4
2024-05-02,0,5
2024-05-03,0,6
2024-05-04,0,7
2024-05-05,0,1
2024-05-06,1,2
2024-05-07,1,3
2024-05-08,1,4
2024-05-09,1,5
2024-05-10,1,6
2024-05-11,0,7
2024-05-12,0,1
2024-05-13,1,2
2024-05-14,1,3
2024-05-15,1,4
2024-05-16,1,5
2024-05-17,1,6
2024-05-18,0,7
2024-05-19,0,1
2024-05-20,1,2
2024-05-21,1,3
2024-05-22,1,4
2024-05-23,1,5
2024-05-24,1,6
2024-05-25,0,7
2024-05-26,0,1
2024-05-27,1,2
2024-05-28,1,3
2024-05-29,1,4
2024-05-30,1,5
2024-05-31,1,6
2024-06-01,0,7
2024-06-02,0,1
2024-06-03,1,2
2024-06-04,1,3
2024-06-05,1,4
2024-06-06,1,5
2024-06-07,1,6
2024-06-08,0,7
2024-06-09,0,1
2024-06-10,0,2
2024-06-11,1,3
2024-06-12,1,4
2024-06-13,1,5
2024-06-14,1,6
2024-06-15,0,7
2024-06-16,0,1
2024-06-17,1,2
2024-06-18,1,3
2024-06-19,1,4
2024-06-20,1,5
2024-06-21,1,6
2024-06-22,0,7
2024-06-23,0,1
2024-06-24,1,2
2024-06-25,1,3
2024-06-26,1,4
2024-06-27,1,5
2024-06-28,1,6
2024-06-29,0,7
2024-06-30,0,1
2024-07-01,1,2
2024-07-02,1,3
2024-07-03,1,4
2024-07-04,1,5
2024-07-05,1,6
2024-07-06,0,7
2024-07-07,0,1
2024-07-08,1,2
2024-07-09,1,3
2024-07-10,1,4
2024-07-11,1,5
2024-07-12,1,6
2024-07-13,0,7
2024-07-14,0,1
2024-07-15,1,2
2024-07-16,1,3
2024-07-17,1,4
2024-07-18,1,5
2024-07-19,1,6
2024-07-20,0,7
2024-07-21,0,1
2024-07-22,1,2
2024-07-23,1,3
2024-07-24,1,4
2024-07-25,1,5
2024-07-26,1,6
2024-07-27,0,7
2024-07-28,0,1
2024-07-29,1,2
2024-07-30,1,3
2024-07-31,1,4
2024-08-01,1,5
2024-08-02,1,6
2024-08-03,0,7
2024-08-04,0,1
2024-08-05,1,2
2024-08-06,1,3
2024-08-07,1,4
2024-08-08,1,5
2024-08-09,1,6
2024-08-10,0,7
2024-08-11,0,1
2024-08-12,1,2
2024-08-13,1,3
2024-08-14,1,4
2024-08-15,1,5
2024-08-16,1,6
2024-08-17,0,7
2024-08-18,0,1
2024-08-19,1,2
2024-08-20,1,3
2024-08-21,1,4
2024-08-22,1,5
2024-08-23,1,6
2024-08-24,0,7
2024-08-25,0,1
2024-08-26,1,2
2024-08-27,1,3
2024-08-28,1,4
2024-08-29,1,5
2024-08-30,1,6
2024-08-31,0,7
2024-09-01,0,1
2024-09-02,1,2
2024-09-03,1,3
2024-09-04,1,4
2024-09-05,1,5
2024-09-06,1,6
2024-09-07,0,7
2024-09-08,0,1
2024-09-09,1,2
2024-09-10,1,3
2024-09-11,1,4
2024-09-12,1,5
2024-09-13,1,6
2024-09-14,0,7
2024-09-15,0,1
2024-09-16,0,2
2024-09-17,0,3
2024-09-18,1,4
2024-09-19,1,5
2024-09-20,1,6
2024-09-21,0,7
2024-09-22,0,1
2024-09-23,1,2
2024-09-24,1,3
2024-09-25,1,4
2024-09-26,1,5
2024-09-27,1,6
2024-09-28,0,7
2024-09-29,0,1
2024-09-30,1,2
2024-10-01,0,3
2024-10-02,0,4
2024-10-03,0,5
2024-10-04,0,6
2024-10-05,0,7
2024-10-06,0,1
2024-10-07,0,2
2024-10-08,1,3
2024-10-09,1,4
2024-10-10,1,5
2024-10-11,1,6
2024-10-12,0,7
2024-10-13,0,1
2024-10-14,1,2
2024-10-15,1,3
2024-10-16,1,4
2024-10-17,1,5
2024-10-18,1,6
2024-10-19,0,7
2024-10-20,0,1
2024-10-21,1,2
2024-10-22,1,3
2024-10-23,1,4
2024-10-24,1,5
2024-10-25,1,6
2024-10-26,0,7
2024-10-27,0,1
2024-10-28,1,2
2024-10-29,1,3
2024-10-30,1,4
2024-10-31,1,5
2024-11-01,1,6
2024-11-02,0,7
2024-11-03,0,1
2024-11-04,1,2
2024-11-05,1,3
2024-11-06,1,4
2024-11-07,1,5
2024-11-08,1,6
2024-11-09,0,7
2024-11-10,0,1
2024-11-11,1,2
2024-11-12,1,3
2024-11-13,1,4
2024-11-14,1,5
2024-11-15,1,6
2024-11-16,0,7
2024-11-17,0,1
2024-11-18,1,2
2024-11-19,1,3
2024-11-20,1,4
2024-11-21,1,5
2024-11-22,1,6
2024-11-23,0,7
2024-11-24,0,1
2024-11-25,1,2
2024-11-26,1,3
2024-11-27,1,4
2024-11-28,1,5
2024-11-29,1,6
2024-11-30,0,7
2024-12-01,0,1
2024-12-02,1,2
2024-12-03,1,3
2024-12-04,1,4
2024-12-05,1,5
2024-12-06,1,6
2024-12-07,0,7
2024-12-08,0,1
2024-12-09,1,2
2024-12-10,1,3
2024-12-11,1,4
2024-12-12,1,5
2024-12-13,1,6
2024-12-14,0,7
2024-12-15,0,1
2024-12-16,1,2
2024-12-17,1,3
2024-12-18,1,4
2024-12-19,1,5
2024-12-20,1,6
2024-12-21,0,7
2024-12-22,0,1
2024-12-23,1,2
2024-12-24,1,3
2024-12-25,1,4
2024-12-26,1,5
2024-12-27,1,6
2024-12-28,0,7
2024-12-29,0,1
2024-12-30,1,2
2024-12-31,1,3
