stock_code,short_name,exchange,list_date
000001,平安银行,SZ,1991-04-03
000002,万科Ａ,SZ,1991-01-29
000003,PT金田A,SZ,
000004,*ST国华,SZ,1990-12-01
000005,ST星源,SZ,1990-12-10
000006,深振业Ａ,SZ,1992-04-27
000007,全新好,SZ,1992-04-13
000008,神州高铁,SZ,1992-05-07
000009,中国宝安,SZ,1991-06-25
000010,美丽生态,SZ,1995-10-27
000011,深物业A,SZ,1992-03-30
000012,南玻Ａ,SZ,1992-02-28
000013,*ST石化A,SZ,
000014,沙河股份,SZ,1992-06-02
000015,PT中浩A,SZ,
000016,深康佳Ａ,SZ,1992-03-27
000017,深中华A,SZ,1992-03-31
000018,神城A退,SZ,
000019,深粮控股,SZ,1992-10-12
000020,深华发Ａ,SZ,1992-04-28
000021,深科技,SZ,1994-02-02
000023,*ST深天,SZ,1993-04-29
000024,招商地产,SZ,
000025,特力Ａ,SZ,1993-06-21
000026,飞亚达,SZ,1993-06-03
000027,深圳能源,SZ,1993-09-03
000028,国药一致,SZ,1993-08-09
000029,深深房Ａ,SZ,1993-09-15
000030,富奥股份,SZ,1993-09-29
000031,大悦城,SZ,1993-10-08
000032,深桑达Ａ,SZ,1993-10-28
000033,新都退,SZ,
000034,神州数码,SZ,1994-05-09
000035,中国天楹,SZ,1994-04-08
000036,华联控股,SZ,1994-06-17
000037,深南电A,SZ,1994-07-01
000038,大通退,SZ,
000039,中集集团,SZ,1994-04-08
000040,*ST旭蓝,SZ,1994-08-08
000042,中洲控股,SZ,1994-09-21
000045,深纺织Ａ,SZ,1994-08-15
000046,*ST泛海,SZ,1994-09-12
000047,ST中侨,SZ,
000048,京基智农,SZ,1994-11-01
000049,德赛电池,SZ,1995-03-20
000050,深天马Ａ,SZ,1995-03-15
000055,方大集团,SZ,1996-04-15
000056,皇庭国际,SZ,1996-07-08
000058,深赛格,SZ,1996-12-26
000059,华锦股份,SZ,1997-01-30
000060,中金岭南,SZ,1997-01-23
000061,农产品,SZ,1997-01-10
000062,深圳华强,SZ,1997-01-30
000063,中兴通讯,SZ,1997-11-18
000065,北方国际,SZ,1998-06-05
000066,中国长城,SZ,1997-06-26
000068,华控赛格,SZ,1997-06-11
000069,华侨城Ａ,SZ,1997-09-10
000070,特发信息,SZ,2000-05-11
000078,海王生物,SZ,1998-12-18
000088,盐田港,SZ,1997-07-28
000089,深圳机场,SZ,1998-04-20
000090,天健集团,SZ,1999-07-21
000096,广聚能源,SZ,2000-07-24
000099,中信海直,SZ,2000-07-31
000100,TCL科技,SZ,2004-01-30
000150,*ST宜康,SZ,
000151,中成股份,SZ,2000-09-06
000153,丰原药业,SZ,2000-09-20
000155,川能动力,SZ,2000-09-26
000156,华数传媒,SZ,2000-09-06
000157,中联重科,SZ,2000-10-12
000158,常山北明,SZ,2000-07-24
000159,国际实业,SZ,2000-09-26
000166,申万宏源,SZ,2015-01-26
000301,东方盛虹,SZ,2000-05-29
000333,美的集团,SZ,2013-09-18
000338,潍柴动力,SZ,2007-04-30
000400,许继电气,SZ,1997-04-18
000401,冀东水泥,SZ,1996-06-14
000402,金融街,SZ,1996-06-26
000403,派林生物,SZ,1996-06-28
000404,长虹华意,SZ,1996-06-19
000405,ST鑫光,SZ,
000406,石油大明,SZ,
000407,胜利股份,SZ,1996-07-03
000408,藏格矿业,SZ,1996-06-28
000409,云鼎科技,SZ,1996-06-27
000410,沈阳机床,SZ,1996-07-18
000411,英特集团,SZ,1996-07-16
000412,ST五环,SZ,
000413,ST旭电,SZ,1996-09-25
000415,渤海租赁,SZ,1996-07-16
000416,*ST民控,SZ,1996-07-19
000417,合百集团,SZ,1996-08-12
000418,小天鹅A,SZ,
000419,通程控股,SZ,1996-08-16
000420,吉林化纤,SZ,1996-08-02
000421,南京公用,SZ,1996-08-06
000422,湖北宜化,SZ,1996-08-15
000423,东阿阿胶,SZ,1996-07-29
000425,徐工机械,SZ,1996-08-28
000426,兴业银锡,SZ,1996-08-28
000428,华天酒店,SZ,1996-08-08
000429,粤高速Ａ,SZ,1998-02-20
000430,ST张家界,SZ,1996-08-29
000488,ST晨鸣,SZ,2000-11-20
000498,山东路桥,SZ,1997-06-09
000501,武商集团,SZ,1992-11-20
000502,绿景退,SZ,
000503,国新健康,SZ,1992-11-30
000504,*ST生物,SZ,1992-12-08
000505,京粮控股,SZ,1992-12-21
000506,招金黄金,SZ,1993-03-12
000507,珠海港,SZ,1993-03-26
000508,琼民源A,SZ,
000509,华塑控股,SZ,1993-05-07
000510,新金路,SZ,1993-05-07
000511,烯碳退,SZ,
000513,丽珠集团,SZ,1993-10-28
000514,渝开发,SZ,1993-07-12
000515,攀渝钛业,SZ,
000516,国际医学,SZ,1993-08-09
000517,荣安地产,SZ,1993-08-06
000518,*ST四环,SZ,1993-09-08
000519,中兵红箭,SZ,1993-10-08
000520,凤凰航运,SZ,1993-10-25
000521,长虹美菱,SZ,1993-10-18
000522,白云山A,SZ,
000523,红棉股份,SZ,1993-11-08
000524,岭南控股,SZ,1993-11-18
000525,红太阳,SZ,1993-10-28
000526,学大教育,SZ,1993-11-01
000527,美的电器,SZ,
000528,柳工,SZ,1993-11-18
000529,广弘控股,SZ,1993-11-18
000530,冰山冷热,SZ,1993-12-08
000531,穗恒运Ａ,SZ,1994-01-06
000532,华金资本,SZ,1994-01-03
000533,顺钠股份,SZ,1994-01-03
000534,万泽股份,SZ,1994-01-10
000535,*ST猴王,SZ,
000536,华映科技,SZ,1993-11-26
000537,中绿电,SZ,1993-12-10
000538,云南白药,SZ,1993-12-15
000539,粤电力Ａ,SZ,1993-11-26
000540,*ST中天,SZ,
000541,佛山照明,SZ,1993-11-23
000542,TCL通讯,SZ,
000543,皖能电力,SZ,1993-12-20
000544,中原环保,SZ,1993-12-08
000545,金浦钛业,SZ,1993-12-15
000546,金圆股份,SZ,1993-12-15
000547,航天发展,SZ,1993-11-30
000548,湖南投资,SZ,1993-12-20
000549,S湘火炬,SZ,
000550,江铃汽车,SZ,1993-12-01
000551,创元科技,SZ,1994-01-06
000552,甘肃能化,SZ,1994-01-06
000553,安道麦A,SZ,1993-12-03
000554,泰山石油,SZ,1993-12-15
000555,神州信息,SZ,1994-04-08
000556,PT南洋,SZ,
